Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
02M130,02M130,P.S. 130 Hernando De Soto,143 Baxter Street,"New York, NY 10013",10013,District School,18,8:15 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93%,98%,98%,97%,98%,10,56%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.5,3,6.8,4,5.6,4,4.4,3,3,3,3.9,3,4.5,3,55.7,"February 27, 2015",3
02M150,02M150,P.S. 150,334 Greenwich Street,"New York, NY 10013",10013,District School,18,8:40 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Outdoor (onsite) playspace,,91%,98%,80%,95%,95%,13,76%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.1,3,5.8,4,6.4,4,4.4,3,2.2,2,3,2,3.7,3,50.6,"March 12, 2015",3
02M151,02M151,Yorkville Community School,421 East 88 Street,"New York, NY 10128",10128,District School,N/A,8:40 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,92%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"November 24, 2015",4
02M158,02M158,P.S. 158 Bayard Taylor,1458 York Avenue,"New York, NY 10075",10075,District School,72,8:30 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80%,95%,97%,90%,99%,30,47%,2015-16 School Year,6.9,4,6.5,4,2.2,2,2014-15 School Year,3.5,3,4,3,5.6,4,3.9,3,2.3,3,2.9,1,2.3,1,42.5,11-May-15,4
02M183,02M183,P.S. 183 Robert L. Stevenson,419 East 66 Street,"New York, NY 10065",10065,District School,N/A,8:30 AM,6 hr 20 mins,No,Yes,Contact program directly for details,Please contact site for more information,,86%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"March 31, 2015",4
02M198,02M198,P.S. 198 Isador E. Ida Straus,1700 Third Avenue,"New York, NY 10128",10128,District School,47,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,76%,99%,94%,99%,98%,37,79%,2015-16 School Year,5.6,3,5.8,3,3.7,3,2014-15 School Year,3.3,2,4.5,3,4.8,3,3.2,2,2.3,3,3,2,2.3,1,39.4,1-May-15,2
02M212,02M212,P.S. 212 Midtown West,328 West 48th Street,"New York, NY 10036",10036,District School,36,8:40 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,96%,97%,97%,96%,99%,30,88%,2015-16 School Year,6.4,4,6.1,4,1.6,1,2014-15 School Year,3.7,3,4.3,3,5.2,4,4.1,3,2.2,2,3.4,3,3,2,45.9,"December 16, 2014",4
02M217,02M217,P.S./I.S. 217 Roosevelt Island,645 Main Street,"New York, NY 10044",10044,District School,36,8:25 AM,6 hr 20 mins,No,No,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,86%,98%,72%,93%,89%,14,44%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,7-May-15,4
02M225,02M225,Ella Baker School,317 East 67th Street,"New York, NY 10065",10065,District School,54,8:30 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,89%,100%,98%,95%,100%,24,49%,2015-16 School Year,6.3,4,5.6,3,1,1,2014-15 School Year,3.2,2,3.5,3,5.8,4,3.1,2,2.3,3,2.5,1,2.7,1,39.1,2-Apr-15,4
02M267,02M267,"East Side Elementary School, P.S. 267",213 East 63rd Street,"New York, NY 10065",10065,District School,18,8:30 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,89%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.9,3,5.8,4,4.2,3,4.8,3,1.7,2,3.4,3,4.3,3,49.1,"January 15, 2016",4
