"","X.zip_hs.","X.hs.","lon","lat"
"64","10019","High School of Graphic Communication Arts",-73.9903637,40.7639856
"65","10022","Art and Design High School",-73.9664438,40.7591326
"66","10128","Life Sciences Secondary School",-73.9459371,40.7832825
"67","10023","High School for Arts, Imagination and Inquiry",-73.9856156,40.7748991
"68","10023","Urban Assembly School for Media Studies, The",-73.98472,40.7747793
"69","10024","The Urban Assembly School for Green Careers",-73.97417,40.785994
"70","10024","The Global Learning Collaborative",-73.9743724,40.785992
"71","10026","Wadleigh Secondary School for the Performing & Vis",-73.9541403,40.8025744
"72","10024","Frank Mccourt High School",-73.9746001,40.785781
"73","10036","Beacon High School",-73.9964725,40.7610515
"74","10023","Fiorello H. LaGuardia High School of Music & Art a",-73.9851211,40.7741856
"75","10023","High School for Law, Advocacy and Community Justic",-73.98472,40.7747793
"76","10023","High School of Arts and Technology",-73.9856157,40.7748991
"77","10023","Manhattan / Hunter Science High School",-73.98472,40.7747793
"78","10023","Special Music School",-73.9831573,40.7752064
"79","10026","Frederick Douglass Academy II Secondary School",-73.9541214,40.8025691
"80","10029","Esperanza Preparatory Academy",-73.9421359,40.792727
"81","10035","Coalition School for Social Change",-73.9338214,40.7992278
"82","10029","Manhattan Center for Science and Mathematics",-73.9329763,40.7943534
"83","10029","Park East High School",-73.9440649,40.7903307
"84","10029","Central Park East High School",-73.9491583,40.7936899
"85","75051","Young Women's Leadership School",-96.988641,32.722019
"86","10029","Heritage School, The",-73.946878,40.791964
"87","10035","The Urban Assembly School for Global Commerce",-73.9386038,40.8069921
"88","10030","Mott Hall High School",-73.94745,40.817349
"89","10027","Columbia Secondary School",-73.956061,40.810687
"90","10027","Academy for Social Action",-73.9555548,40.8154805
"91","10027","Urban Assembly School for the Performing Arts",-73.9556642,40.815709
"92","10035","Choir Academy of Harlem",-73.9388294,40.8070626
"93","10039","Frederick Douglass Academy",-73.9365449,40.8243982
"94","10030","Thurgood Marshall Academy for Learning and Social",-73.9443209,40.8152252
"95","67301","Bread & Roses Integrated Arts High School",-95.7092877,37.2333921
"96","10031","High School for Mathematics, Science and Engineeri",-73.9490389,40.8214739
"97","10034","Inwood Early College for Health and Information Te",-73.925157,40.8659143
"98","10040","City College Academy of the Arts",-73.9301494,40.8608456
"99","10032","Community Health Academy of the Heights",-73.9422627,40.8336419
"100","10033","Washington Heights Expeditionary Learning School",-73.9310992,40.8491088
"101","10040","The College Academy",-73.9301494,40.8608456
"102","10040","High School for Media and Communications",-73.9265543,40.8562127
"103","10040","High School for Law and Public Service",-73.9260333,40.8558937
"104","10040","High School for Health Careers and Sciences",-73.9262029,40.8555572
"105","10031","A. Philip Randolph Campus High School",-73.9501148,40.8183975
"106","10032","Gregorio Luperon High School for Science and Mathe",-73.9385431,40.8382195
"107","10454","South Bronx Preparatory: A College Board School",-73.9206428,40.8137231
"108","10454","M.S. 223 The Laboratory School of Finance and Tech",-73.920879,40.813829
"109","10455","H.E.R.O. High (Health, Education, and Research Occ",-73.9075759,40.810415
"110","10454","International Community High School",-73.9180756,40.8099356
"111","10451","Community School for Social Justice",-73.9298282,40.8158033
"112","10455","Mott Haven Village Preparatory High School",-73.911294,40.8182262
"113","10455","University Heights Secondary School",-73.9114746,40.818134
"114","10455","Hostos-Lincoln Academy of Science",-73.9120401,40.8145714
"115","10455","Foreign Language Academy of Global Studies",-73.9092839,40.810911
"116","10451","Bronx Design and Construction Academy",-73.9199144,40.8186347
"117","10451","Bronx Leadership Academy II High School",-73.92314,40.822489
"118","10451","New Explorers High School",-73.9233477,40.8226154
"119","10451","Urban Assembly School for Careers in Sports",-73.9235453,40.8225735
"120","10451","The Urban Assembly Bronx Academy of Letters",-73.925999,40.81366
"121","10451","Alfred E. Smith Career and Technical Education Hig",-73.9199681,40.8185183
"122","10451","Health Opportunities High School",-73.9304433,40.815542
"123","10459","Bronx Studio School for Writers and Artists",-73.8929382,40.8203983
"124","10473","Women's Academy of Excellence",-73.8560605,40.8149607
"125","10461","Renaissance High School for Musical Theater & Tech",-73.8393567,40.8401731
"126","10473","Pablo Neruda Academy",-73.8556733,40.8213444
"127","10473","Millennium Art Academy",-73.8556733,40.8213444
"128","10461","Pelham Lab High School",-73.8379652,40.8398127
"129","10459","Holcombe L. Rucker School of Community Research",-73.8980034,40.8176142
"130","10461","Schuylerville Preparatory High School",-73.8393567,40.8401731
"131","10461","Bronx River High School",-73.8393794,40.839983
"132","10473","Archimedes Academy for Math, Science and Technolog",-73.8560261,40.8149051
"133","10473","Antonia Pantoja Preparatory Academy: A College Boa",-73.8556869,40.8214002
"134","10461","Herbert H. Lehman High School",-73.8393356,40.8401061
"135","10473","Bronx Bridges High School",-73.8556542,40.8214475
"136","10473","Bronx Guild",-73.855774,40.821999
"137","10473","Felisa Rincon de Gautier Institute for Law and Pub",-73.8806876,40.820831
"138","10459","Banana Kelly High School",-73.8980239,40.8176439
"139","10461","Westchester Square Academy",-73.838045,40.8400627
"140","10456","School for Tourism and Hospitality",-73.902849,40.821851
"141","10473","Bronx Compass High School",-73.855699,40.8213228
"142","10457","Bronx Collegiate Academy",-73.911386,40.839614
"143","10457","Eagle Academy for Young Men",-73.897176,40.845264
"144","10457","Urban Assembly School for Applied Math and Science",-73.9018947,40.8394571
"145","10456","Eximius College Preparatory Academy: A College Boa",-73.902312,40.8340967
"146","10457","Mott Hall Bronx High School",-73.9017332,40.8396148
"147","10456","Bronx Center for Science and Mathematics",-73.9027472,40.8339721
"148","10457","Validus Preparatory Academy: An Expeditionary Lear",-73.9019033,40.8394126
"149","92614","Leadership Institute",-117.846903,33.683937
"150","10456","Morris Academy for Collaborative Studies",-73.9039243,40.8272169
"151","10456","Bronx Early College Academy for Teaching & Learnin",-73.9175579,40.8281781
"152","10452","Comprehensive Model School Project M.S. 327",-73.9160047,40.8432195
"153","10457","DreamYard Preparatory School",-73.9113888,40.8396259
"154","10453","Academy for Language and Technology",-73.915653,40.8493122
"155","10456","Bronx International High School",-73.9040046,40.8271913
"156","10456","School for Excellence",-73.9045097,40.8273033
"157","10457","Bronx High School of Business",-73.911386,40.8396545
"158","10457","Bronx High School for Medical Science",-73.911386,40.8396545
"159","10457","Jonathan Levin High School for Media and Communica",-73.911386,40.8396545
"160","10451","Bronx School for Law, Government and Justice",-73.9190153,40.827493
"161","10456","Frederick Douglass Academy III Secondary School",-73.9038974,40.8337212
"162","10457","Bronx Leadership Academy High School",-73.9031094,40.8434287
"163","10456","High School for Violin and Dance",-73.9039243,40.8272169
"164","10457","Claremont International HS",-73.9113859,40.8396545
"165","10473","Young Women's Leadership School of the Bronx",-73.8575055,40.8188481
"166","10463","Riverdale / Kingsbridge Academy (Middle School / H",-73.913565,40.8882097
"167","10463","Bronx Engineering and Technology Academy",-73.9133334,40.8776027
"168","10457","Theatre Arts Production Company School",-73.8970362,40.8546548
"169","10463","The Marie Curie School for Medicine, Nursing, and",-73.901374,40.8751412
"170","10458","West Bronx Academy for the Future",-73.8885964,40.8595423
"171","10458","Bronx Academy for Software Engineering (BASE)",-73.8824269,40.855428
"172","10468","Kingsbridge International High School",-73.8969425,40.8704419
"173","10463","Bronx School of Law and Finance",-73.913386,40.8776412
"174","10468","International School for Liberal Arts",-73.8969425,40.8704419
"175","10468","Bronx Collaborative High School",-73.887375,40.8813737
"176","10468","World View High School",-73.8872867,40.8813441
"177","10463","In-Tech Academy (M.S. / High School 368)",-73.911364,40.8790734
"178","10458","Knowledge and Power Preparatory Academy Internatio",-73.888666,40.8594735
"179","10468","High School for Teaching and the Professions",-73.8969425,40.8704419
"180","10458","Belmont Preparatory High School",-73.8886743,40.8594021
"181","10458","Fordham High School for the Arts",-73.8885964,40.8595423
"182","10458","Fordham Leadership Academy for Business and Techno",-73.8886017,40.8595464
"183","10458","Bronx High School for Law and Community Service",-73.8885909,40.8595181
"184","10468","DeWitt Clinton High School",-73.887407,40.881324
"185","10468","Celia Cruz Bronx High School of Music, The",-73.8972152,40.8705478
"186","10468","Bronx High School of Science",-73.890843,40.8783054
"187","10463","Marble Hill High School for International Studies",-73.9126839,40.8771416
"188","10458","Crotona International High School",-73.8823041,40.8553839
"189","10463","Bronx Theatre High School",-73.9132583,40.8774191
"190","30046","Discovery High School",-84.0367871,33.9554548
"191","10458","High School for Energy and Technology",-73.8824187,40.8552601
"192","10468","High School of American Studies at Lehman College",-73.8950622,40.8746731
"193","10475","Bronx Health Sciences High School",-73.8333032,40.8740126
"194","10467","Bronx High School for Writing and Communication Ar",-73.861435,40.8755572
"195","10467","Bronx Lab School",-73.8616623,40.8750988
"196","10466","Academy for Scholarship and Entrepreneurship: A Co",-73.8524927,40.888161
"197","10467","High School of Computers and Technology",-73.8616059,40.8752055
"198","10469","Collegiate Institute for Math and Science",-73.8603398,40.8603747
"199","10467","Bronx Academy of Health Careers",-73.8616623,40.8750988
"200","10469","Astor Collegiate Academy",-73.8603759,40.8602833
"201","10462","Bronx High School for the Visual Arts",-73.864467,40.8517178
"202","10475","Harry S Truman High School",-73.833329,40.874285
"203","10469","Bronxdale High School",-73.8602604,40.8603726
"204","10469","High School of Language and Innovation",-73.8603759,40.8602833
"205","10466","New World High School",-73.8527494,40.8883728
"206","10466","The Bronxwood Preparatory Academy",-73.85261,40.8882379
"207","10469","Pelham Preparatory Academy",-73.8602473,40.8603656
"208","10467","High School for Contemporary Arts",-73.8616623,40.8750988
"209","10467","Bronx Aerospace High School",-73.861435,40.8755572
"210","10472","Mott Hall V",-73.8773576,40.8321858
"211","10459","Metropolitan High School, The",-73.8974331,40.827337
"212","98225","Explorations Academy",-122.4725255,48.7527827
"213","10456","Bronx Latin",-73.9004224,40.8276602
"214","10460","East Bronx Academy for the Future",-73.8877059,40.8367822
"215","10459","Peace and Diversity Academy",-73.8970008,40.827719
"216","10460","Urban Assembly School for Wildlife Conservation",-73.8844851,40.8439832
"217","10472","Pan American International High School at Monroe",-73.8784059,40.8320571
"218","10472","The Cinema School",-73.8774024,40.8319103
"219","10456","Bronx Career and College Preparatory High School",-73.9008891,40.8271204
"220","10460","Bronx Envision Academy",-73.8907414,40.8363157
"221","10472","The Metropolitan Soundview High School",-73.8777215,40.8321278
"222","10472","High School of World Cultures",-73.8783844,40.8320451
"223","10460","Fannie Lou Hamer Freedom High School",-73.885602,40.8310478
"224","10460","Wings Academy",-73.8751818,40.8416248
"225","10472","Monroe Academy for Visual Arts & Design",-73.8785801,40.8323001
"226","11205","Dr. Susan S. McKinney Secondary School of the Arts",-73.9759851,40.6969046
"227","11201","Urban Assembly High School of Music and Art",-73.9848196,40.6973905
"228","11205","Brooklyn Community High School of Communication, A",-73.9584562,40.6917001
"229","11201","Science Skills Center High School for Science, Tec",-73.9847715,40.6975008
"230","11217","Brooklyn Technical High School",-73.9767165,40.6889546
"231","11201","Brooklyn International High School",-73.9848191,40.6973902
"232","11201","The Urban Assembly School for Law and Justice",-73.9883212,40.6946132
"233","11238","ACORN Community High School",-73.9619432,40.6785854
"234","11201","Urban Assembly Institute of Math and Science for Y",-73.9885265,40.6946487
"235","11216","Bedford Academy High School",-73.9541902,40.6854101
"236","11201","George Westinghouse Career and Technical Education",-73.9855862,40.6958629
"237","11205","Benjamin Banneker Academy",-73.9687151,40.6955429
"238","11201","City Polytechnic High School of Engineering, Archi",-73.9858309,40.6956553
"239","11206","Juan Morel Campos Secondary School",-73.9531909,40.7043785
"240","80601","Foundations Academy",-104.7602744,39.9827814
"241","11206","Brooklyn Latin School, The",-73.9440947,40.709777
"242","11206","Green School: An Academy for Environmental Careers",-73.9445006,40.7097423
"243","11211","PROGRESS High School for Professional Careers",-73.939075,40.711809
"244","11211","School for Legal Studies",-73.9391255,40.7117723
"245","11211","The High School for Enterprise, Business and Techn",-73.9392113,40.711777
"246","11211","Brooklyn Preparatory High School",-73.9549291,40.7154197
"247","11211","Williamsburg High School for Architecture and Desi",-73.9550398,40.7154923
"248","11211","Williamsburg Preparatory School",-73.9547924,40.715345
"249","11206","Lyons Community School",-73.9445188,40.7097646
"250","11222","Automotive High School",-73.9532235,40.7224451
"251","11206","Young Women's Leadership School of Brooklyn",-73.9388221,40.7049818
"252","11222","Frances Perkins Academy",-73.9532927,40.7222345
"253","11211","El Puente Academy for Peace and Justice",-73.9556496,40.7057587
"254","11201","Brooklyn School for Global Studies",-73.9943356,40.6851261
"255","11231","Brooklyn Secondary School for Collaborative Studie",-74.0019427,40.6794323
"256","11215","Secondary School for Law",-73.9786411,40.6693177
"257","11215","Secondary School for Journalism",-73.9786411,40.6693177
"258","11215","Park Slope Collegiate",-73.9788092,40.6694296
"259","11201","School for International Studies",-73.9937004,40.6849801
"260","11201","Cobble Hill School of American Studies",-73.9909739,40.6845219
"261","11217","Khalil Gibran International Academy",-73.9797253,40.6863861
"262","11217","Brooklyn High School of the Arts",-73.9803552,40.6838346
"263","11232","Sunset Park High School",-74.0041149,40.6551493
"264","11215","Millennium Brooklyn HS",-73.9786411,40.6693177
"265","11221","Frederick Douglass Academy IV Secondary School",-73.9314884,40.6919757
"266","11213","Boys and Girls High School",-73.9316585,40.6789227
"267","11221","Brooklyn High School for Law and Technology",-73.9207644,40.6884532
"268","11238","Gotham Professional Arts Academy",-73.961744,40.6785117
"269","11221","The Brooklyn Academy of Global Finance",-73.9332726,40.6916161
"270","11213","Nelson Mandela High School",-73.9314906,40.6789033
"271","11213","Pathways in Technology Early College High School (",-73.9392494,40.6759682
"272","11226","Academy for College Preparation and Career Explora",-73.9581617,40.6494997
"273","11226","Academy of Hospitality and Tourism",-73.9582046,40.6488485
"274","11225","International High School at Prospect Heights",-73.9615536,40.6699636
"275","11225","The High School for Global Citizenship",-73.9611201,40.6699561
"276","11203","School for Human Rights, The",-73.943838,40.658665
"277","11203","School for Democracy and Leadership",-73.943838,40.658665
"278","11226","High School for Youth and Community Development at",-73.9581617,40.6494997
"279","78213","High School for Service & Learning at Erasmus",-98.5206805,29.5308784
"280","11226","Science, Technology and Research Early College Hig",-73.9571733,40.6495006
"281","11203","High School for Public Service: Heroes of Tomorrow",-73.9431462,40.6593652
"282","11225","Brooklyn Academy of Science and the Environment",-73.9610552,40.6700279
"283","11217","Brooklyn School for Music & Theatre",-73.9773419,40.6861354
"284","11225","Medgar Evers College Preparatory School",-73.9509148,40.6670605
"285","11225","Clara Barton High School",-73.9618677,40.6695301
"286","11203","Brooklyn Institute for Liberal Arts",-73.9430922,40.6586122
"287","11213","Academy for Health Careers",-73.9392856,40.6759239
"288","11203","It Takes a Village Academy",-73.9222339,40.6480567
"289","11236","Brooklyn Generation School",-73.9174421,40.6335392
"290","11236","Brooklyn Theatre Arts High School",-73.9174421,40.6335392
"291","11203","Kurt Hahn Expeditionary Learning School",-73.9222115,40.6480464
"292","11236","Victory Collegiate High School",-73.9173831,40.6335601
"293","74103","Arts & Media Preparatory Academy",-95.991736,36.1580359
"294","11236","High School for Innovation in Advertising and Medi",-73.8976898,40.6409517
"295","11203","Cultural Academy for the Arts and Sciences",-73.9222286,40.6480444
"296","11236","High School for Medical Professions",-73.8984517,40.640423
"297","11236","Academy for Conservation and the Environment",-73.9174422,40.6335392
"298","11236","Urban Action Academy",-73.8984517,40.640423
"299","11239","Academy for Young Writers",-73.8742909,40.6573372
"300","11207","East New York Family Academy",-73.8960768,40.6738372
"301","11239","Spring Creek Community School",-73.8741377,40.6573003
"302","11207","FDNY High School for Fire and Life Safety",-73.8947925,40.6675989
"303","11207","High School for Civil Rights",-73.8952889,40.6668454
"304","11207","Performing Arts and Technology High School",-73.8947048,40.6669903
"305","11207","World Academy for Total Community Health High Scho",-73.8952889,40.6668454
"306","11208","Multicultural High School",-73.8690682,40.6930052
"307","11208","Transit Tech Career and Technical Education High S",-73.8752132,40.678748
"308","11208","Academy of Innovative Technology",-73.8689912,40.6928503
"309","11208","Brooklyn Lab School",-73.8689912,40.6928503
"310","11208","Cypress Hills Collegiate Preparatory School",-73.8690682,40.6930052
"311","11207","W. H. Maxwell Career and Technical Education High",-73.8961578,40.6738562
"312","11208","The School for Classics: An Academy of Thinkers, W",-73.8741107,40.6695156
"313","11208","The Urban Assembly School for Collaborative Health",-73.8690232,40.6929603
"314","11214","New Utrecht High School",-74.0029406,40.6134264
"315","11220","High School of Telecommunication Arts and Technolo",-74.0233013,40.6368371
"316","11209","Fort Hamilton High School",-74.0392943,40.6271178
"317","11204","Franklin Delano Roosevelt High School",-73.9825025,40.6213242
"318","11219","Urban Assembly School for Criminal Justice",-73.9824061,40.634902
"319","11214","International High School at Lafayette",-73.9861442,40.5936235
"320","11224","Rachel Carson High School for Coastal Studies",-73.9722114,40.5827434
"321","11214","High School of Sports Management",-73.985987,40.5935726
"322","51503","Abraham Lincoln High School",-95.8192809,41.2576159
"323","11214","Kingsborough Early College School",-73.9861661,40.5936334
"324","11230","Edward R. Murrow High School",-73.959439,40.6203504
"325","11223","John Dewey High School",-73.9824892,40.5873209
"326","11214","Life Academy High School for Film and Music",-73.985987,40.5935726
"327","11214","Expeditionary Learning School for Community Leader",-73.985987,40.5935726
"328","11235","William E. Grady Career and Technical Education Hi",-73.9636603,40.5827332
"329","11214","Brooklyn Studio Secondary School",-73.9947464,40.6048465
"330","11210","Midwood High School",-73.9523773,40.632833
"331","30092","James Madison High School",-84.2370525,33.9598658
"332","11235","Sheepshead Bay High School",-73.936638,40.59314
"333","11235","Leon M. Goldstein High School for the Sciences",-73.9351854,40.5804398
"334","11218","Brooklyn College Academy",-73.9718961,40.6492022
"335","11235","Origins High School",-73.9367824,40.5934398
"336","11233","Brooklyn Collegiate: A College Board School",-73.9135268,40.6742589
"337","11212","Frederick Douglass Academy VII High School",-73.9120609,40.6655301
"338","11233","Eagle Academy for Young Men II",-73.915842,40.6779834
"339","11212","Teachers Preparatory High School",-73.9119789,40.6655123
"340","11373","International High School for Health Sciences",-73.8739856,40.7408369
"341","11101","Academy of Finance and Enterprise",-73.9367909,40.7444771
"342","11101","High School of Applied Communication",-73.9369449,40.7448591
"343","11373","Civic Leadership Academy",-73.871482,40.743204
"344","11373","Pan American International High School",-73.871507,40.743329
"345","11101","Bard High School Early College Queens",-73.9368378,40.7449799
"346","06482","Newtown High School",-73.2711026,41.4099636
"347","11385","Grover Cleveland High School",-73.908683,40.7113307
"348","11101","Middle College High School at LaGuardia Community",-73.933675,40.7433449
"349","11101","International High School at LaGuardia Community C",-73.9350125,40.7439998
"350","11368","High School for Arts and Business",-73.8534401,40.7376899
"351","11101","Robert F. Wagner, Jr. Secondary School for Arts an",-73.9369395,40.7414438
"352","11378","Maspeth High School",-73.8876918,40.7291993
"353","11101","Queens Vocational and Technical High School",-73.927947,40.741992
"354","73179","Aviation Career & Technical Education High School",-97.6171802,35.4097978
"355","13401","Veritas Academy",-97.9147866,30.1651182
"356","11354","Queens High School for Language Studies",-73.827688,40.7649086
"357","11366","Queens School of Inquiry, The",-73.80937,40.724191
"358","11355","Flushing International High School",-73.8180648,40.7600404
"359","11355","East-West School of International Studies",-73.82141,40.74943
"360","11358","World Journalism Preparatory: A College Board Scho",-73.7897125,40.7648343
"361","11367","John Bowne High School",-73.8244445,40.7390168
"362","11354","Flushing High School",-73.8263758,40.7647694
"363","11367","Townsend Harris High School",-73.821365,40.7349867
"364","11366","Robert F. Kennedy Community High School",-73.8113253,40.7253501
"365","11427","Business Technology Early College High School",-73.7390273,40.733761
"366","11364","Benjamin N. Cardozo High School",-73.756601,40.7518919
"367","11365","Francis Lewis High School",-73.7939348,40.7407391
"368","11427","Martin Van Buren High School",-73.7391435,40.7336309
"369","11361","Bayside High School",-73.7810639,40.7714489
"370","11426","Queens High School of Teaching, Liberal Arts and t",-73.728799,40.744121
"371","11691","Frederick Douglass Academy VI High School",-73.763979,40.601532
"372","11694","Channel View School for Research",-73.8234351,40.5866656
"373","11691","Queens High School for Information, Research, and",-73.763979,40.601532
"374","11417","Robert H. Goddard High School of Communication Art",-73.8457261,40.6712332
"375","11691","Academy of Medical Technology: A College Board Sch",-73.7639639,40.6015311
"376","11420","Epic High School - South",-73.8166916,40.6750633
"377","11694","Scholars' Academy",-73.8251698,40.5842665
"378","11694","Rockaway Park High School for Environmental Sustai",-73.8234853,40.5865189
"379","11419","Epic High School - North",-73.8290101,40.6926827
"380","11694","Rockaway Collegiate High School",-73.823435,40.5866656
"381","11434","August Martin High School",-73.7832722,40.6751577
"382","31324","Richmond Hill High School",-81.3162599,31.9256491
"383","44105","John Adams High School",-81.6016219,41.4544124
"384","11416","High School for Construction Trades, Engineering a",-73.8412058,40.6892334
"385","11374","J.H.S. 157 Stephen A. Halsey",-73.85295,40.7323207
"386","11375","Metropolitan Expeditionary Learning School",-73.8556713,40.708521
"387","11433","York Early College Academy",-73.7866629,40.6971533
"388","11432","Queens Collegiate: A College Board School",-73.7979008,40.7141939
"389","11432","Hillside Arts & Letters Academy",-73.7980413,40.7142819
"390","11432","High School for Community Leadership",-73.7980185,40.7142166
"391","11432","Jamaica Gateway to the Sciences",-73.7978589,40.7141835
"392","11375","Forest Hills High School",-73.8449259,40.7297115
"393","65803","Hillcrest High School",-93.2990825,37.2575862
"394","11432","Thomas A. Edison Career and Technical Education Hi",-73.7983076,40.7162714
"395","11432","Queens Gateway to Health Sciences Secondary School",-73.8058922,40.7184027
"396","11375","Queens Metropolitan High School",-73.8557889,40.7088459
"397","11433","Queens High School for the Sciences at York Colleg",-73.7983153,40.7009286
"398","11434","High School for Law Enforcement and Public Safety",-73.783534,40.6859426
"399","11432","Young Women's Leadership School, Queens",-73.8041518,40.7083882
"400","11411","Institute for Health Professions at Cambria Height",-73.7461497,40.6983284
"401","11413","Queens Preparatory Academy",-73.7568698,40.6682743
"402","11412","Pathways College Preparatory School: A College Boa",-73.7528605,40.7052059
"403","11413","Excelsior Preparatory High School",-73.7579342,40.6680413
"404","11413","George Washington Carver High School for the Scien",-73.7580558,40.6679692
"405","11413","Preparatory Academy for Writers: A College Board S",-73.7580558,40.6679692
"406","11411","Benjamin Franklin High School for Finance & Inform",-73.7460088,40.6981894
"407","11423","Cambria Heights Academy",-73.7709697,40.7116047
"408","11434","Eagle Academy for Young Men III",-73.7784977,40.691249
"409","11411","Mathematics, Science Research and Technology Magne",-73.7460088,40.6981894
"410","11411","Law, Government and Community Service High School",-73.74615,40.698328
"411","11411","Business, Computer Applications & Entrepreneurship",-73.74615,40.698328
"412","53706","Humanities & Arts Magnet High School",-89.4000444,43.0741703
"413","11106","Energy Tech High School",-73.9324468,40.7567551
"414","11102","Young Women's Leadership School, Astoria",-73.924167,40.7712552
"415","11101","Academy for Careers in Television and Film",-73.9594398,40.7429183
"416","11103","William Cullen Bryant High School",-73.9103777,40.7576896
"417","11106","Long Island City High School",-73.9330529,40.7654697
"418","11106","Frank Sinatra School of the Arts High School",-73.9249468,40.7563382
"419","11101","Information Technology High School",-73.946552,40.7484914
"420","11101","Newcomers High School",-73.9369976,40.7514349
"421","11101","Academy of American Studies",-73.9374847,40.7512433
"422","11106","Baccalaureate School for Global Education",-73.9269736,40.7551568
"423","10314","CSI High School for International Studies",-74.1590049,40.5819075
"424","10314","Gaynor McCown Expeditionary Learning School",-74.1593599,40.581969
"425","10301","The Michael J. Petrides School",-74.1055942,40.6081534
"426","10306","New Dorp High School",-74.1073767,40.5695781
"427","10302","Port Richmond High School",-74.142015,40.634843
"428","10301","Curtis High School",-74.0816561,40.645186
"429","10312","Tottenville High School",-74.1932553,40.5278857
"430","10314","Susan E. Wagner High School",-74.1251624,40.5972873
"431","10301","Ralph R. McKee Career and Technical Education High",-74.0792492,40.6429204
"432","10306","Staten Island Technical High School",-74.1156914,40.5679259
"433","11237","The Brooklyn School for Math and Research",-73.9117456,40.6970064
"434","11237","Academy for Environmental Leadership",-73.9117456,40.6970064
