"","X.zip.","X.ems.","lon","lat"
"135","10039","P.S. 046 Arthur Tappan",-73.9360061,40.8316292
"136","10030","P.S. 092 Mary McLeod Bethune",-73.9455558,40.815109
"137","10030","P.S. 123 Mahalia Jackson",-73.944486,40.820165
"138","10027","P.S. 125 Ralph Bunche",-73.9562607,40.8107532
"139","10027","P.S. 129 John H. Finley",-73.952222,40.815
"140","10037","P.S. 133 Fred R Moore",-73.9392427,40.8098587
"141","10030","Eagle Academy for Young Men of Harlem",-73.9473384,40.8173221
"142","10027","P.S. 154 Harriet Tubman",-73.9487117,40.81047
"143","10027","P.S. 161 Pedro Albizu Campos",-73.9524683,40.8177552
"144","10030","P.S. 175 Henry H Garnet",-73.9428696,40.81421
"145","10030","P.S. 194 Countee Cullen",-73.9407713,40.8212594
"146","10037","P.S. 197 John B. Russwurm",-73.9376211,40.8131252
"147","10039","P.S. 200- The James Mccune Smith School",-73.9365214,40.8247219
"148","10027","Urban Assembly Academy for Future Leaders",-73.9556511,40.8156303
"149","10030","KAPPA IV",-73.9473723,40.8174583
"150","10039","Thurgood Marshall Academy Lower School",-73.9379587,40.8259397
"151","10027","Columbia Secondary School",-73.956061,40.810687
"152","10039","Frederick Douglass Academy",-73.9365449,40.8243982
"153","10031","New Design Middle School",-73.9567465,40.8197016
"154","10027","Teachers College Community School",-73.9535404,40.8125165
"155","10030","Thurgood Marshall Academy for Learning and Social",-73.9443209,40.8152252
"156","10032","P.S. 004 Duke Ellington",-73.9412036,40.8348474
"157","10034","P.S. 005 Ellen Lurie",-73.9224277,40.8589195
"158","10032","P.S. 008 Luis Belliard",-73.9369192,40.8393341
"159","10034","P.S. 018 Park Terrace",-73.9115093,40.871664
"160","10032","P.S. 028 Wright Brothers",-73.9426622,40.8316992
"161","10033","P.S. 048 P.O. Michael J. Buczek",-73.9337765,40.8533608
"162","10034","J.H.S. 052 Inwood",-73.9247582,40.8656378
"163","10034","P.S. 098 Shorac Kappock",-73.9176682,40.86793
"164","10033","Dos Puentes Elementary School",-73.9341774,40.8506509
"165","10033","P.S. 115 Alexander Humboldt",-73.9351439,40.8461336
"166","10032","P.S. 128 Audubon",-73.93862,40.8409879
"167","10033","P.S. 132 Juan Pablo Duarte",-73.9340022,40.8508088
"168","10033","J.H.S. 143 Eleanor Roosevelt",-73.9309984,40.8492121
"169","10040","P.S. 152 Dyckman Valley",-73.9277953,40.8601744
"170","10031","P.S. 153 Adam Clayton Powell",-73.9471366,40.8262008
"171","10033","P.S. 173",-73.9400804,40.845562
"172","10040","Professor Juan Bosch Public School",-73.9279633,40.8593724
"173","10040","P.S./I.S. 187 Hudson Cliffs",-73.9372077,40.8561141
"174","10040","P.S. 189",-73.9279992,40.8530906
"175","10031","P.S. 192 Jacob H. Schiff",-73.9535055,40.820464
"176","10031","Hamilton Grange Middle School",-73.9530543,40.821053
"177","10031","P.S./I.S. 210 - Twenty-first Century Academy for C",-73.9446436,40.8299805
"178","10040","I.S. 218 Salome Urena",-73.9301716,40.8609569
"179","10027","The Mott Hall School",-73.9526374,40.8157428
"180","10034","Paula Hedbavny School",-73.9123372,40.8715667
"181","10040","City College Academy of the Arts",-73.9301494,40.8608456
"182","10034","Amistad Dual Language School",-73.9238886,40.8666157
